YBL035C,POL12,DNA polymerase subunit alpha B,,11200,52,hart et al 106
YBL036C,,UPF0001 protein YBL036C,1CT5,4890,-80,hart et al 345
YBL037W,APL3,AP-2 complex subunit alpha,,1590,47,hart et al 129
YBL038W,mitochondrial precursor,60S ribosomal protein L16,,2880,276,hart et al 8
YBL039C,URA7,CTP synthase 1,,57600,389,_group3
YBL041W,PRE7,Proteasome component C5,1RYP,,,hart et al 13
YBL044W,,Hypothetical 13.9 kDa protein in QCR1-FUI1 intergenic region,,,,_group853
YBL045C,mitochondrial precursor,Ubiquinol-cytochrome-c reductase complex core protein 1,3CX5,19300,291,hart et al 200
YBL046W,PSY4,Serine/threonine-protein phosphatase 4 regulatory subunit 2,,1010,65,hart et al 64
YBL047C,EDE1,Uncharacterized protein YBL047C,2G3Q,1380,74,hart et al 171
YBL049W,MOH1,Protein yippee-like MOH1,,,,_group28
YBL050W,SEC17,Alpha-soluble NSF attachment protein,1QQE,,,hart et al 266
YBL051C,PIN4,RNA-binding protein PIN4,2A0T,4630,20,_group1162
YBL052C,SAS3,Histone acetyltransferase SAS3,,0,7,hart et al 275
YBL056W,PTC3,Protein phosphatase 2C homolog 3,,19700,54,hart et al 159
YBL058W,SHP1,UBX domain-containing protein 1,,3200,62,hart et al 70
YBL059W,,Uncharacterized protein YBL059W,,623,71,_group819
YBL061C,SKT5,Protein SKT5,,2580,10,_group537
YBL064C,PRX1,Mitochondrial peroxiredoxin PRX1,,4510,117,hart et al 189
YBL067C,UBP13,Ubiquitin carboxyl-terminal hydrolase 13,,125,32,hart et al 294
YBL068W,PRS4,Probable ribose-phosphate pyrophosphokinase 4,,5280,116,doubleton7
YBL071W-A,KTI11,Diphthamide biosynthesis protein 3,1YWS,8400,0,hart et al 71
YBL072C,RPS8A,40S ribosomal protein S8,,15900,0,hart et al 19
YBL074C,AAR2,A1 cistron-splicing factor AAR2,,7330,250,hart et al 12
YBL075C,SSA3,Heat shock protein SSA3,,6440,59,_group492
YBL078C,ATG8,Autophagy-related protein 8 precursor,,2010,289,_group403
YBL079W,NUP170,Nucleoporin NUP170,,1560,20,hart et al 304
YBL080C,mitochondrial precursor,Probable glutamyl-tRNA(Gln) amidotransferase subunit B,,1390,0,doubleton8
YBL084C,CDC27,Anaphase-promoting complex subunit CDC27,,593,3,hart et al 23
YBL085W,BOI1,Protein BOB1,,1040,3,_group3
YBL087C,RPL23A,60S ribosomal protein L23,,,,_group332
YBL088C,TEL1,Serine/threonine-protein kinase TEL1,,,,_group825
YBL090W,MRP21,Uncharacterized protein YBL090W,,1270,66,hart et al 3
YBL093C,ROX3,RNA polymerase II mediator complex subunit 19,,6120,123,hart et al 5
YBL097W,BRN1,Condensin complex subunit 2,,704,3,hart et al 86
YBL099W,mitochondrial precursor,ATP synthase subunit alpha,2HLD,41500,49,hart et al 185
YBL103C,RTG3,Retrograde regulation protein 3,,1050,36,hart et al 268
YBL105C,PKC1,Protein kinase C-like 1,,,,_group3
YBL106C,SRO77,Protein SNI2,,,,_group228
YBR001C,NTH2,Probable trehalase,,2500,29,hart et al 222
YBR003W,mitochondrial precursor,Hexaprenyl pyrophosphate synthetase,,1560,64,_group920
YBR009C,HHF1,Histone H4,,524000,62,hart et al 17
YBR010W,HHT1,Histone H3,,213000,-814,hart et al 128
YBR011C,IPP1,Inorganic pyrophosphatase,1E9G,68400,883,hart et al 88
YBR017C,KAP104,Importin beta-2 subunit,,2130,41,hart et al 84
YBR020W,GAL1,Galactokinase,2AJ4,,,_group1
YBR023C,CHS3,Chitin synthase 3,,1510,49,_group537
YBR024W,mitochondrial precursor,Protein SCO2,,1480,13,_group828
YBR029C,CDS1,Phosphatidate cytidylyltransferase,,,,_group317
YBR030W,,Uncharacterized protein YBR030W,,7880,37,hart et al 252
YBR031W,RPL4A,60S ribosomal protein L4-A,,,,hart et al 57
YBR034C,HMT1,HNRNP arginine N-methyltransferase,1G6Q,37600,43,hart et al 357
YBR037C,mitochondrial precursor,Protein SCO1,2B7K,2550,74,_group828
YBR038W,CHS2,Chitin synthase 2,,,,_group1106
YBR039W,mitochondrial precursor,ATP synthase gamma chain,2HLD,28100,-169,_group570
YBR041W,FAT1,Very long-chain fatty acid transport protein,,16900,0,_group655
YBR044C,TCM62,Mitochondrial chaperone TCM62,,,,_group657
YBR045C,GIP1,GLC7-interacting protein 1,,,,hart et al 378
YBR050C,REG2,Protein REG2,,,,_group537
YBR052C,RFS1,Uncharacterized protein YBR052C,,7060,-551,hart et al 361
YBR055C,PRP6,Pre-mRNA-splicing factor 6,,2250,2,hart et al 12
YBR058C,UBP14,Ubiquitin carboxyl-terminal hydrolase 14,,3040,39,hart et al 183
YBR059C,AKL1,Serine/threonine-protein kinase AKL1,,3000,131,_group737
YBR060C,ORC2,Origin recognition complex subunit 2,,1700,25,hart et al 65
YBR061C,TRM7,tRNA (uridine-2'-O-)-methyltransferase TRM7,,4110,39,hart et al 346
YBR064W,,Uncharacterized membrane protein YBR064W,,,,_group853
YBR065C,ECM2,Pre-mRNA-splicing factor SLT11,,4260,41,hart et al 16
YBR066C,NRG2,Probable transcriptional regulator NRG2,,704,10,_group299
YBR073W,RDH54,DNA repair and recombination protein RDH54,,1270,30,_group582
YBR077C,SLM4,Uncharacterized protein YBR077C,,3490,539,_group658
YBR079C,RPG1,Eukaryotic translation initiation factor 3 110 kDa subunit,,52700,0,hart et al 19
YBR080C,SEC18,Vesicular-fusion protein SEC18,1CR5,5920,37,_group524
YBR081C,SPT7,Transcriptional activator SPT7,,2360,193,hart et al 7
YBR082C,UBC4,Ubiquitin-conjugating enzyme E2 4,1QCQ,13500,12,hart et al 288
YBR083W,TEC1,Ty transcription activator TEC1,,530,0,_group988
YBR084W,mitochondrial precursor,C-1-tetrahydrofolate synthase,,11400,73,doubleton9
YBR087W,RFC5,Replication factor C subunit 5,1SXJ,5040,138,hart et al 48
YBR088C,POL30,Proliferating cell nuclear antigen,1PLQ,,,hart et al 317
YBR089C-A,NHP6B,Nonhistone chromosomal protein 6B,,4590,103,_group1
YBR091C,MRS5,Mitochondrial import inner membrane translocase subunit TIM12,,,,_group296
YBR094W,PBY1,TTL domain-containing protein YBR094W,,1770,2,hart et al 104
YBR095C,RXT2,Transcriptional regulatory protein RXT2,,1630,72,hart et al 22
YBR097W,VPS15,Serine/threonine-protein kinase VPS15,,279,2,hart et al 131
YBR098W,MMS4,Crossover junction endonuclease MMS4,,,,_group317
YBR102C,EXO84,Exocyst complex component EXO84,2D2S,,,hart et al 42
YBR103W,SIF2,SIR4-interacting protein SIF2,1R5M,1620,39,hart et al 29
YBR105C,VID24,Vacuolar import and degradation protein 24,,6650,-3982,hart et al 51
YBR107C,IML3,Central kinetochore subunit IML3,,125,0,hart et al 24
YBR108W,,Uncharacterized protein YBR108W,,,,_group1013
YBR109C,CMD1,Calmodulin,1F54,,,hart et al 33
YBR112C,CYC8,Glucose repression mediator protein CYC8,,3890,13,hart et al 279
YBR114W,RAD16,DNA repair protein RAD16,,358,33,hart et al 122
YBR118W,TEF2,Elongation factor 1-alpha,1F60,450,30,_group12
YBR119W,MUD1,U1 small nuclear ribonucleoprotein A,,2950,-18948,hart et al 14
YBR122C,mitochondrial precursor,60S ribosomal protein L36,,0,28,hart et al 8
YBR123C,TFC1,Transcription factor tau 95 kDa subunit,,15800,22,hart et al 67
YBR125C,PTC4,Protein phosphatase 2C homolog 4,,149,62,hart et al 249
YBR126C,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit,Alpha,,10900,-70,hart et al 98
YBR127C,VMA2,Vacuolar ATP synthase subunit B,,131000,29,hart et al 176
YBR128C,ATG14,Autophagy-related protein 14,,,,_group383
YBR130C,SHE3,Uncharacterized protein YBR130C,,1010,70,hart et al 33
YBR131W,CCZ1,Uncharacterized protein YBR131W,,2870,30,hart et al 293
YBR133C,HSL7,Protein arginine N-methyltransferase HSL7,,1180,14,_group183
YBR135W,CKS1,Cyclin-dependent kinases regulatory subunit,1QB3,8780,52,hart et al 43
YBR136W,MEC1,Serine/threonine-protein kinase MEC1,,,,hart et al 34
YBR137W,,UPF0303 protein YBR137W,,1200,16,hart et al 127
YBR138C,,Uncharacterized protein YBR138C,,195,5,_group1106
YBR140C,IRA1,Inhibitory regulator protein IRA1,,,,_group1080
YBR142W,MAK5,ATP-dependent RNA helicase MAK5,,981,127,hart et al 20
YBR143C,SUP45,Eukaryotic peptide chain release factor subunit 1,,13100,62,hart et al 15
YBR146W,mitochondrial precursor,40S ribosomal protein S9,,,,hart et al 3
YBR152W,SPP381,Uncharacterized protein YBR152W,,2510,45,hart et al 12
YBR154C,II,DNA-directed RNA polymerases I,1DZF,,,hart et al 1
YBR155W,CNS1,Cyclophilin seven suppressor 1,,672,33,_group240
YBR156C,SLI15,Inner centromere protein-related protein SLI15,,319,13,_group867
YBR158W,AMN1,Uncharacterized protein YBR158W,,2020,17,_group835
YBR160W,CDC28,Cell division control protein 28,,6670,-74,hart et al 43
YBR164C,ARL1,ADP-ribosylation factor-like protein 1,1MOZ,5190,-120,_group837
YBR167C,POP7,Ribonucleases P/MRP protein subunit POP7,,0,66,hart et al 55
YBR168W,PEX32,Peroxisomal membrane protein PEX32,,0,49,_group838
YBR170C,NPL4,Protein NPL4,,1050,29,hart et al 70
YBR171W,SEC66,Translocation protein SEC66,,7820,-3619,hart et al 112
YBR173C,UMP1,Proteasome maturation factor UMP1,,2740,17,hart et al 168
YBR175W,SWD3,COMPASS component SWD3,,0,1181,hart et al 52
YBR179C,FZO1,Transmembrane GTPase FZO1,,1010,24,_group407
YBR182C,SMP1,Transcription factor SMP1,,,,_group513
YBR188C,NTC20,Pre-mRNA-splicing factor NTC20,,1430,-268,hart et al 292
YBR193C,MED8,RNA polymerase II mediator complex subunit 8,2HZS,937,-1925,hart et al 5
YBR194W,SOY1,Hypothetical 14.2 kDa protein in RIM2-MSI1 intergenic region,,0,152,hart et al 305
YBR195C,MSI1,Chromatin assembly factor 1 subunit p50,,149,31,hart et al 134
YBR196C,PGI1,Glucose-6-phosphate isomerase,,91600,540,hart et al 31
YBR198C,TAF5,Transcription initiation factor TFIID subunit 5,2J49,14800,21,hart et al 7
YBR200W,BEM1,Bud emergence protein 1,"2V6V,1IP9",6490,19,_group3
YBR202W,MCM7,DNA replication licensing factor CDC47,,166,0,_group787
YBR205W,KTR3,Probable mannosyltransferase KTR3,,704,17,hart et al 84
YBR208C,DUR1,Urea amidolyase,,2,952,_group626
YBR211C,AME1,Central kinetochore subunit AME1,,1630,68,hart et al 24
YBR213W,MET8,Siroheme biosynthesis protein MET8,1KYQ,,,_group1065
YBR215W,HPC2,Histone promoter control 2 protein,,238,16,hart et al 90
YBR216C,YBP1,YAP1-binding protein 1,,3060,23,_group359
YBR217W,ATG12,Autophagy-related protein 12,,,,_group403
YBR221C,mitochondrial precursor,Pyruvate dehydrogenase E1 component subunit beta,,9970,72,hart et al 158
YBR223C,TDP1,Tyrosyl-DNA phosphodiesterase 1,1Q32,2130,0,hart et al 70
YBR225W,,Uncharacterized protein YBR225W,,623,9,hart et al 166
YBR228W,SLX1,Structure-specific endonuclease SLX1,,,,doubleton10
YBR229C,ROT2,Glucosidase 2 subunit alpha precursor,,238,27,hart et al 211
YBR231C,SWC5,SWR1-complex protein 5,,1680,22,hart et al 9
YBR233W,PBP2,PAB1-binding protein 2,,1590,36,_group980
YBR233W-A,DAD3,DASH complex subunit DAD3,,468,228,hart et al 41
YBR234C,ARC40,Probable ARP2/3 complex 41 kDa subunit,,0,66,hart et al 46
YBR236C,ABD1,mRNA cap guanine-N7 methyltransferase,,,,_group97
YBR239C,,Probable transcriptional regulatory protein YBR239C,,85.5,16,_group1013
YBR240C,THI2,Thiamine biosynthesis regulatory protein,,,,doubleton11
YBR245C,ISW1,ISWI chromatin remodeling complex ATPase ISW1,,1500,37,hart et al 61
YBR247C,ENP1,Essential nuclear protein 1,,21600,35,hart et al 89
YBR251W,MRPS5,Probable mitochondrial 40S ribosomal protein S5,,6680,201,hart et al 3
YBR253W,SRB6,RNA polymerase II mediator complex subunit 22,,2180,176,hart et al 5
YBR254C,TRS20,Transport protein particle 20 kDa subunit,,1200,0,hart et al 25
YBR257W,POP4,RNases MRP/P 32.9 kDa subunit,,,,hart et al 55
YBR258C,SHG1,COMPASS component SHG1,,1520,45,hart et al 52
YBR260C,RGD1,Protein RGD1,,1500,45,hart et al 239
YBR264C,YPT10,GTP-binding protein YPT10,,1360,57,hart et al 62
YBR267W,REI1,Pre-60S factor REI1,,830,116,hart et al 334
YBR268W,mitochondrial precursor,60S ribosomal protein L37,,1100,-477,hart et al 295
YBR270C,BIT2,Probable target of rapamycin complex 2 subunit BIT2,,,,_group31
YBR273C,UBX7,UBX domain-containing protein 7,,2190,47,hart et al 142
YBR274W,CHK1,Serine/threonine-protein kinase CHK1,,2530,30,_group183
YBR275C,RIF1,Protein RIF1,,,,_group502
YBR278W,DPB3,DNA polymerase epsilon subunit C,,784,1162,hart et al 119
YBR279W,PAF1,RNA polymerase-associated protein 1,,1040,117,hart et al 15
YBR280C,SAF1,F-box protein YBR280C,,,,hart et al 289
YBR281C,DUG2,WD repeat protein YBR281C,,1940,56,hart et al 153
YBR288C,APM3,AP-3 complex subunit mu,,3410,79,hart et al 99
YBR289W,SNF5,Transcription regulatory protein SNF5,,217,3,hart et al 6
YBR290W,BSD2,Metal homeostatis protein BSD2,,3070,48,_group240
YCL008C,STP22,Suppressor protein STP22 of temperature-sensitive alpha-factor receptor and arginine permease,"1UZX,2F6M",1360,46,hart et al 116
YCL009C,mitochondrial precursor,Acetolactate synthase small subunit,,15800,105,_group666
YCL010C,SGF29,SAGA-associated factor 29,,1750,42,hart et al 7
YCL011C,GBP2,Single-strand telomeric DNA-binding protein GBP2,,2540,61,hart et al 28
YCL014W,BUD3,Bud site selection protein 3,,0,8,_group469
YCL016C,DCC1,Sister chromatid cohesion protein DCC1,,1660,63,hart et al 296
YCL017C,mitochondrial precursor,Cysteine desulfurase,,504,0,hart et al 290
YCL024W,KCC4,Probable serine/threonine-protein kinase KCC4,,538,22,hart et al 319
YCL027W,FUS1,Nuclear fusion protein FUS1,,,,_group3
YCL028W,RNQ1,[PIN+] prion protein RNQ1,,1140,51,_group12
YCL029C,BIK1,Nuclear fusion protein BIK1,,300,77,_group494
YCL030C,HIS4,Histidine biosynthesis trifunctional protein,,521,0,hart et al 307
YCL031C,RRP7,Ribosomal RNA-processing protein 7,,2610,101,hart et al 15
YCL032W,STE50,Protein STE50,1UQV,1670,39,hart et al 245
YCL034W,LSB5,LAS seventeen-binding protein 5,,,,_group492
YCL037C,SRO9,RNA-binding protein SRO9,,8430,0,_group12
YCL039W,GID7,Glucose-induced degradation protein 7,,1200,23,hart et al 51
YCL040W,GLK1,Glucokinase GLK1,,21100,142,hart et al 83
YCL043C,PDI1,Protein disulfide-isomerase precursor,2B5E,0,8,hart et al 273
YCL046W,,Uncharacterized protein YCL046W,,,,_group668
YCL051W,LRE1,Laminarase-resistance protein LRE1,,,,_group659
YCL052C,PBN1,Protein PBN1,,4930,-225,doubleton12
YCL054W,SPB1,AdoMet-dependent rRNA methyltransferase SPB1,,,,hart et al 44
YCL056C,,Uncharacterized protein YCL056C,,0,37,_group845
YCL059C,KRR1,Uncharacterized protein YCL059C,,4340,191,hart et al 107
YCL061C,MRC1,Mediator of replication checkpoint protein 1,,721,98,_group787
YCL063W,VAC17,Uncharacterized protein YCL063W,,0,31,_group846
YCL066W,HMLALPHA1,Mating-type protein ALPHA1,,,,_group388
YCL067C,HMLALPHA2,Mating-type protein ALPHA2,1K61,,,_group388
YCR002C,CDC10,Cell division control protein 10,,14100,0,hart et al 47
YCR009C,RVS161,Reduced viability upon starvation protein 161,,7390,50,hart et al 103
YCR012W,PGK1,Phosphoglycerate kinase,1FW8,314000,199,hart et al 31
YCR014C,POL4,DNA polymerase IV,,,,hart et al 25
YCR020C-A,MAK31,N-terminal acetyltransferase C complex subunit MAK31,,2140,0,hart et al 147
YCR020W-B,HTL1,High temperature lethal protein 1,,3550,30,hart et al 6
YCR030C,SYP1,Suppressor of yeast profilin deletion,,4280,-2326,hart et al 171
YCR033W,SNT1,Probable DNA-binding protein SNT1,,396,0,hart et al 29
YCR035C,RRP43,Exosome complex exonuclease RRP43,,3180,98,hart et al 10
YCR038C,BUD5,Bud site selection protein 5,,2110,122,_group479
YCR039C,MATALPHA2,Mating-type protein ALPHA2,,0,107,_group388
YCR042C,TAF2,Transcription initiation factor TFIID subunit 2,,1160,136,hart et al 173
YCR046C,mitochondrial precursor,60S ribosomal protein IMG1,,4150,234,hart et al 8
YCR052W,RSC6,Chromatin structure remodeling complex protein RSC6,,2470,34,hart et al 6
YCR057C,PWP2,Periodic tryptophan protein 2,,16700,-332,hart et al 4
YCR059C,YIH1,UPF0029 protein YCR059C,,3030,42,_group521
YCR060W,TAH1,TPR repeat-containing protein associated with Hsp90,,1660,47,hart et al 286
YCR063W,BUD31,Bud site selection protein 31,,1900,26,hart et al 16
YCR065W,HCM1,Forkhead transcription factor HCM1,,358,15,_group1106
YCR066W,RAD18,Postreplication repair E3 ubiquitin-protein ligase RAD18,,206,22,hart et al 250
YCR067C,SED4,Protein SED4,,0,62,_group672
YCR071C,mitochondrial precursor,60S ribosomal protein IMG2,,1710,190,hart et al 8
YCR072C,RSA4,WD repeat protein YCR072C,,,,hart et al 78
YCR073C,SSK22,Serine/threonine-protein kinase SSK22,,56.9,0,hart et al 126
YCR073W-A,SOL2,Probable 6-phosphogluconolactonase 2,,1160,45,hart et al 180
YCR077C,PAT1,Topoisomerase II-associated protein PAT1,,656,15,hart et al 21
YCR079W,PTC6,Protein phosphatase 2C-like protein YCR079W,,432,67,hart et al 255
YCR081W,SRB8,Suppressor of RNA polymerase B SRB8,,1730,41,hart et al 5
YCR084C,TUP1,Glucose repression regulatory protein TUP1,1ERJ,5840,27,hart et al 279
YCR086W,CSM1,Monopolin complex subunit CSM1,,1920,0,_group787
YCR087C-A,LUG1,Uncharacterized protein YCR087C-A,,3430,117,_group55
YCR088W,ABP1,Actin-binding protein,"1HQZ,1JO8",606,18,hart et al 194
YCR092C,MSH3,MutS protein homolog 3,,736,21,hart et al 95
YCR093W,CDC39,General negative regulator of transcription subunit 1,,4300,53,hart et al 59
YCR095C,OCA4,Uncharacterized protein YCR095C,,5370,104,hart et al 81
YCR097W,HMRA1,Mating-type protein A1,1MH3,,,_group388
YCR099C,,Hypothetical 18.0 kDa protein in GIT1-PAU3 intergenic region,,,,_group819
YDL002C,NHP10,Non-histone protein 10,,1760,54,hart et al 9
YDL003W,MCD1,Sister chromatid cohesion protein 1,1W1W,1040,0,hart et al 79
YDL004W,mitochondrial precursor,ATP synthase delta chain,2HLD,,,_group826
YDL005C,MED2,RNA polymerase II mediator complex subunit 2,,10800,38,hart et al 5
YDL006W,PTC1,Protein phosphatase 2C homolog 1,,1520,-247,hart et al 193
YDL007W,RPT2,26S protease regulatory subunit 4 homolog,,0,17,hart et al 2
YDL008W,APC11,Anaphase-promoting complex subunit 11,,377,11,hart et al 377
YDL013W,SLX5,Hexose metabolism-related protein HEX3,,0,17,hart et al 126
YDL014W,NOP1,rRNA 2'-O-methyltransferase fibrillarin,,,,hart et al 392
YDL015C,TSC13,Enoyl reductase TSC13,,23600,59,_group9
YDL017W,CDC7,Cell division control protein 7,,1600,35,_group787
YDL018C,ERP3,Protein ERP3 precursor,,3190,-102,hart et al 359
YDL019C,OSH2,Oxysterol-binding protein homolog 2,,1070,15,hart et al 371
YDL020C,RPN4,Protein RPN4,,0,3,_group852
YDL023C,,,,,,_group853
YDL025C,,Probable serine/threonine-protein kinase YDL025C,,861,32,hart et al 132
YDL028C,MPS1,Serine/threonine-protein kinase MPS1,,0,3,_group169
YDL029W,ARP2,Actin-like protein 2,,6650,-1039,hart et al 46
YDL030W,PRP9,Pre-mRNA-splicing factor PRP9,,3920,21,hart et al 12
YDL031W,DBP10,ATP-dependent RNA helicase DBP10,,,,hart et al 44
YDL035C,GPR1,G protein-coupled receptor GPR1,,0,31,_group535
YDL040C,NAT1,N-terminal acetyltransferase A complex subunit NAT1,,7600,65,hart et al 69
YDL042C,SIR2,NAD-dependent histone deacetylase SIR2,2HJH,3350,21,hart et al 121
YDL043C,PRP11,Pre-mRNA-splicing factor PRP11,,3460,108,hart et al 12
YDL044C,mitochondrial precursor,Protein NAM1,,2060,0,hart et al 332
YDL045W-A,mitochondrial precursor,40S ribosomal protein MRP10,,259,0,hart et al 3
YDL047W,SIT4,Serine/threonine-protein phosphatase PP1-1,,3970,34,hart et al 56
YDL051W,LHP1,La protein homolog,,,,hart et al 54
YDL054C,MCH1,Probable transporter MCH1,,,,hart et al 354
YDL055C,PSA1,Mannose-1-phosphate guanyltransferase,,97100,0,_group55
YDL056W,MBP1,Transcription factor MBP1,1BM8,521,20,hart et al 148
YDL059C,RAD59,DNA repair protein RAD59,,468,23,_group269
YDL060W,TSR1,Ribosome biogenesis protein TSR1,,1390,27,hart et al 89
YDL064W,UBC9,SUMO-conjugating enzyme UBC9,2GJD,2600,86,_group55
YDL065C,PEX19,Farnesylated protein PEX19,,5350,56,hart et al 21
YDL069C,mitochondrial precursor,Cytochrome b translational activator protein CBS1,,556,120,hart et al 352
YDL074C,BRE1,Ubiquitin-protein ligase BRE1,,2980,61,hart et al 210
YDL075W,RPL31A,60S ribosomal protein L31,,,,hart et al 369
