P40509,COPE_YEAST,YIL076W,Coatomer subunit epsilon,SEC28,ANU2
P39516,RS14B_YEAST,YJL191W,40S ribosomal protein S14-B,RPS14B,CRY2
P38970,HAL5_YEAST,YJL165C,Serine/threonine-protein kinase HAL5,HAL5,
P46993,ASG7_YEAST,YJL170C,Protein ASG7,ASG7,
P39005,KRE9_YEAST,YJL174W,Cell wall synthesis protein KRE9 precursor,KRE9,
P46990,RL17B_YEAST,YJL177W,60S ribosomal protein L17-B,RPL17B,
P32524,PRP21_YEAST,YJL203W,Pre-mRNA-splicing factor PRP21,PRP21,SPP91
Q02820,NCE1_YEAST,YJL205C,Non-classical export protein 1,NCE101,NCE1;YJL205C-A;YJL206C-A
P22135,ATP12_YEAST,YJL180C,Protein ATP12, mitochondrial precursor,ATP12,
P32800,PEX2_YEAST,YJL210W,Peroxisomal biogenesis factor 2,PEX2,CRT1;PAS5
P40897,OPT1_YEAST,YJL212C,Oligopeptide transporter 1,OPT1,GSH11;HGT1
P46985,MNN11_YEAST,YJL183W,Probable alpha-1,6-mannosyltransferase MNN11,MNN11,
P09119,CDC6_YEAST,YJL194W,Cell division control protein 6,CDC6,
P20840,SAG1_YEAST,YJR004C,Alpha-agglutinin precursor,SAG1,AG(ALPHA)1;AGAL1
P27351,AP2B_YEAST,YJR005W,AP-2 complex subunit beta,APL1,YAP80
P20459,IF2A_YEAST,YJR007W,Eukaryotic translation initiation factor 2 subunit alpha,SUI2,TIF211
P00358,G3P2_YEAST,YJR009C,Glyceraldehyde-3-phosphate dehydrogenase 2,TDH2,GLD2;GPD2
P39540,ELO1_YEAST,YJL196C,Elongation of fatty acids protein 1,ELO1,
P47088,GPI14_YEAST,YJR013W,GPI mannosyltransferase 1,GPI14,PMH1
P46965,SPC1_YEAST,YJR010C-A,Signal peptidase complex subunit SPC1,SPC1,
P22696,ESS1_YEAST,YJR017C,Peptidyl-prolyl cis-trans isomerase ESS1,ESS1,PIN1;PTF1
P41903,PTE1_YEAST,YJR019C,Peroxisomal acyl-coenzyme A thioester hydrolase 1,TES1,PTE1
P08536,MET3_YEAST,YJR010W,Sulfate adenylyltransferase,MET3,
P47096,3HAO_YEAST,YJR025C,3-hydroxyanthranilate 3,4-dioxygenase,BNA1,HAD1
P47104,RAV1_YEAST,YJR033C,Regulator of V-ATPase in vacuolar membrane protein 1,RAV1,SOI3
P40352,RAD26_YEAST,YJR035W,DNA repair and recombination protein RAD26,RAD26,GTA1085
P37020,GEF1_YEAST,YJR040W,Protein GEF1,GEF1,CLC;CLCY1
P47108,URB2_YEAST,YJR041C,Nucleolar preribosomal-associated protein 2,URB2,NPA2
P46673,NUP85_YEAST,YJR042W,Nucleoporin NUP85,NUP85,RAT9
P12398,HSP77_YEAST,YJR045C,Heat shock protein SSC1, mitochondrial precursor,SSC1,ENS1;mtHSP70
P39522,ILV3_YEAST,YJR016C,Dihydroxy-acid dehydratase, mitochondrial precursor,ILV3,
P21374,ISY1_YEAST,YJR050W,Pre-mRNA-splicing factor ISY1,ISY1,NTC30;UTR3
P21375,OSM1_YEAST,YJR051W,Osmotic growth protein 1,OSM1,FRDS2
P47113,BFA1_YEAST,YJR053W,Mitotic check point protein BFA1,BFA1,IBD1
Q00381,AP2S_YEAST,YJR058C,AP-2 complex subunit sigma,APS2,YAP17
P47116,PTK2_YEAST,YJR059W,Serine/threonine-protein kinase PTK2/STK2,PTK2,STK2
P17106,CBF1_YEAST,YJR060W,Centromere-binding protein 1,CBF1,CEP1;CP1;CPF1
P40354,NTA1_YEAST,YJR062C,Protein N-terminal amidase,NTA1,DEA1
P32529,RPA9_YEAST,YJR063W,DNA-directed RNA polymerase I 13.7 kDa polypeptide,RPA12,RRN4
P40413,TCPE_YEAST,YJR064W,T-complex protein 1 subunit epsilon,CCT5,TCP5
Q03361,JIP4_YEAST,YDR475C,Uncharacterized protein JIP4,JIP4,YDR474C
P47117,ARP3_YEAST,YJR065C,Actin-like protein 3,ARP3,ACT4
P35169,TOR1_YEAST,YJR066W,Serine/threonine-protein kinase TOR1,TOR1,DRR1
P47093,LSM8_YEAST,YJR022W,U6 snRNA-associated Sm-like protein LSm8,LSM8,
P47102,GEA1_YEAST,YJR031C,ARF guanine-nucleotide exchange factor 1,GEA1,
P47122,NPA3_YEAST,YJR072C,ATPase NPA3,NPA3,EPA1
P32458,CDC11_YEAST,YJR076C,Cell division control protein 11,CDC11,PSL9
P47103,CYP7_YEAST,YJR032W,Peptidyl-prolyl cis-trans isomerase CYP7,CPR7,
Q02772,PT191_YEAST,YJR034W,Protein PET191, mitochondrial precursor,PET191,
P24814,GRR1_YEAST,YJR090C,SCF E3 ubiquitin ligase complex F-box protein GRR1,GRR1,CAT80;COT2;SDC1;SSU2
P47135,JSN1_YEAST,YJR091C,Protein JSN1,JSN1,PUF1
P40985,HUL4_YEAST,YJR036C,Probable ubiquitin-protein ligase HUL4,HUL4,
P33303,SFC1_YEAST,YJR095W,Succinate/fumarate mitochondrial transporter,SFC1,ACR1
P47138,DPH4_YEAST,YJR097W,Diphthamide biosynthesis protein 4,JJJ3,DPH4
P45976,FIP1_YEAST,YJR093C,Pre-mRNA polyadenylation factor FIP1,FIP1,
P47142,VPS25_YEAST,YJR102C,Vacuolar protein sorting-associated protein 25,VPS25,VPT25
P00445,SODC_YEAST,YJR104C,Superoxide dismutase [Cu-Zn],SOD1,CRS4
P21190,IME1_YEAST,YJR094C,Meiosis-inducing protein 1,IME1,
P49631,RL43_YEAST,YJR094W-A,60S ribosomal protein L43,RPL43B,
P49631,RL43_YEAST,YPR043W,60S ribosomal protein L43,RPL43A,
P47154,STE24_YEAST,YJR117W,CAAX prenyl protease 1,STE24,AFC1;PIO2
P35127,UBL1_YEAST,YJR099W,Ubiquitin carboxyl-terminal hydrolase YUH1,YUH1,
P38627,URA8_YEAST,YJR103W,CTP synthase 2,URA8,
P46970,NMD5_YEAST,YJR132W,Nonsense-mediated mRNA decay protein 5,NMD5,KAP119
P47143,ADK_YEAST,YJR105W,Adenosine kinase,ADO1,
P47169,ECM17_YEAST,YJR137C,Sulfite reductase [NADPH] subunit beta,ECM17,MET5
P47144,ECM27_YEAST,YJR106W,Extracellular matrix protein 27,ECM27,
P47171,HIR3_YEAST,YJR140C,Histone transcription regulator 3,HIR3,HPC1
P32787,MG101_YEAST,YJR144W,Mitochondrial genome maintenance protein MGM101, mitochondrial precursor,MGM101,MGM9
P05753,RS4_YEAST,YHR203C,40S ribosomal protein S4,RPS4B,RPS7B
P05753,RS4_YEAST,YJR145C,40S ribosomal protein S4,RPS4A,RPS7B
P03965,CARB_YEAST,YJR109C,Carbamoyl-phosphate synthase arginine-specific large chain,CPA2,
P47176,BCA2_YEAST,YJR148W,Branched-chain-amino-acid aminotransferase, cytosolic,BAT2,ECA40;TWT2
P47178,DAN1_YEAST,YJR150C,Cell wall protein DAN1 precursor,DAN1,CCW13
P15365,DAL5_YEAST,YJR152W,Allantoate permease,DAL5,UREP1
P47180,PGLR_YEAST,YJR153W,Polygalacturonase precursor,PGU1,PGL1;PSM1
P35497,DHSO1_YEAST,YJR159W,Sorbitol dehydrogenase 1,SOR1,SDH1
P36108,DID4_YEAST,YKL002W,DOA4-independent degradation protein 4,DID4,CHM2;GRD7;REN1;VPL2;VPS2;VPT14
P47147,YMR1_YEAST,YJR110W,Phosphoinositide 3-phosphatase,YMR1,
P47149,NNF1_YEAST,YJR112W,Kinetochore-associated protein NNF1,NNF1,
P47155,ILM1_YEAST,YJR118C,Protein ILM1,ILM1,
P47160,ENT3_YEAST,YJR125C,Epsin-3,ENT3,
Q03702,CCE1_YEAST,YKL011C,Cruciform cutting endonuclease 1, mitochondrial precursor,CCE1,MGT1
P34241,URB1_YEAST,YKL014C,Nucleolar preribosomal-associated protein 1,URB1,NPA1
P33201,MRT4_YEAST,YKL009W,mRNA turnover protein 4,MRT4,
P36104,SWD2_YEAST,YKL018W,COMPASS component SWD2,SWD2,CPS35;SAF37
P15700,UMPK_YEAST,YKL024C,Uridylate kinase,URA6,SOC8
P36102,PAN3_YEAST,YKL025C,PAB-dependent poly(A)-specific ribonuclease subunit PAN3,PAN3,ECM35
P33417,IXR1_YEAST,YKL032C,Intrastrand cross-link recognition protein,IXR1,ORD1
P33202,UFD4_YEAST,YKL010C,Ubiquitin fusion degradation protein 4,UFD4,
P32860,NFU1_YEAST,YKL040C,NifU-like protein, mitochondrial precursor,NFU1,NUB1
P36095,VPS24_YEAST,YKL041W,Vacuolar protein sorting-associated protein 24,VPS24,DID3
P32801,ELM1_YEAST,YKL048C,Serine/threonine-protein kinase ELM1,ELM1,LDB9
P36012,CENPA_YEAST,YKL049C,Histone H3-like centromeric protein CSE4,CSE4,CSL2
P33203,PRP40_YEAST,YKL012W,Pre-mRNA-processing protein PRP40,PRP40,
P33204,ARPC4_YEAST,YKL013C,ARP2/3 complex 20 kDa subunit,ARC19,
P35691,TCTP_YEAST,YKL056C,Translationally-controlled tumor protein homolog,TMA19,MMI1;RBF18
P35729,NU120_YEAST,YKL057C,Nucleoporin NUP120,NUP120,RAT2
P14540,ALF_YEAST,YKL060C,Fructose-bisphosphate aldolase,FBA1,LOT1
Q02629,NU100_YEAST,YKL068W,Nucleoporin NUP100/NSP100,NUP100,NSP100
P36016,LHS1_YEAST,YKL073W,Heat shock protein 70 homolog LHS1 precursor,LHS1,CER1;SSI1
P25502,PUT3_YEAST,YKL015W,Proline utilization trans-activator,PUT3,
P31412,VATC_YEAST,YKL080W,Vacuolar ATP synthase subunit C,VMA5,CSL5;VAT3;VATC
P36008,EF1G2_YEAST,YKL081W,Elongation factor 1-gamma 2,TEF4,EFC1
P30902,ATP7_YEAST,YKL016C,ATP synthase D chain, mitochondrial,ATP7,
P35210,SPT23_YEAST,YKL020C,Protein SPT23,SPT23,
P33314,BUD2_YEAST,YKL092C,Inhibitory regulator protein BUD2/CLA2,BUD2,CLA2;ERC25
P23493,MBR1_YEAST,YKL093W,Protein MBR1,MBR1,
P34247,UTP11_YEAST,YKL099C,U3 small nucleolar RNA-associated protein 11,UTP11,
P28319,CWP1_YEAST,YKL096W,Cell wall protein CWP1 precursor,CWP1,YJU1
P43497,CWP2_YEAST,YKL096W-A,Cell wall protein CWP2 precursor,CWP2,LPR1;YKL097W-A
P14742,GFA1_YEAST,YKL104C,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing],GFA1,
P34252,SLD2_YEAST,YKL108W,DNA replication regulator SLD2,SLD2,DRC1
P34253,KTI12_YEAST,YKL110C,Protein KTI12,KTI12,TOT4
P26793,RAD27_YEAST,YKL113C,Structure-specific endonuclease RAD27,RAD27,ERC11;FEN1;RTH1
Q01802,AATM_YEAST,YKL106W,Aspartate aminotransferase, mitochondrial precursor,AAT1,
P32341,VPH2_YEAST,YKL119C,Vacuolar ATPase assembly integral membrane protein VPH2,VPH2,CLS10;VMA12
P32332,OAC1_YEAST,YKL120W,Mitochondrial oxaloacetate transport protein,OAC1,PMT;PMT1
P14064,HAP4_YEAST,YKL109W,Transcriptional activator HAP4,HAP4,
P12688,YPK1_YEAST,YKL126W,Serine/threonine-protein kinase YPK1,YPK1,SLI2
P22936,APN1_YEAST,YKL114C,DNA-(apurinic or apyrimidinic site) lyase 1,APN1,
P28707,SBA1_YEAST,YKL117W,Co-chaperone protein SBA1,SBA1,
P35999,PMIP_YEAST,YKL134C,Mitochondrial intermediate peptidase, mitochondrial precursor,OCT1,MIP1
P32342,SRP21_YEAST,YKL122C,Signal recognition particle subunit SRP21,SRP21,
P34163,TGL1_YEAST,YKL140W,Sterol esterase TGL1,TGL1,YKL5
P33421,SDH3_YEAST,YKL141W,Succinate dehydrogenase cytochrome B subunit, mitochondrial precursor,SDH3,CYB3;YKL4
P35719,RT08_YEAST,YKL142W,Mitochondrial 40S ribosomal protein MRP8,MRP8,YKL3
P34078,LTV1_YEAST,YKL143W,Low-temperature viability protein LTV1,LTV1,YKL2
P35718,RPC25_YEAST,YKL144C,DNA-directed RNA polymerase III 25 kDa polypeptide,RPC25,YKL1
P33299,PRS7_YEAST,YKL145W,26S protease regulatory subunit 7 homolog,RPT1,CIM5;YTA3
Q00711,DHSA_YEAST,YKL148C,Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial precursor,SDH1,SDHA
P24309,DBR1_YEAST,YKL149C,Lariat debranching enzyme,DBR1,PRP26
P00950,PMG1_YEAST,YKL152C,Phosphoglycerate mutase 1,GPM1,GPM
P36070,RRN3_YEAST,YKL125W,RNA polymerase I-specific transcription initiation factor RRN3,RRN3,
P32454,APE2_YEAST,YKL158W,Aminopeptidase 2, mitochondrial precursor,APE2,LAP1;YKL158W
P32454,APE2_YEAST,YKL157W,Aminopeptidase 2, mitochondrial precursor,APE2,LAP1;YKL158W
P36054,RCN1_YEAST,YKL159C,Calcipressin-like protein,RCN1,DSCR1L
Q03180,PIR3_YEAST,YKL163W,Protein PIR3 precursor,PIR3,CCW8
Q03178,PIR1_YEAST,YKL164C,Protein PIR1 precursor,PIR1,CCW6
P36051,MCD4_YEAST,YKL165C,GPI ethanolamine phosphate transferase 1,MCD4,FSR2;SSU21;ZRG16
P05986,KAPC_YEAST,YKL166C,cAMP-dependent protein kinase type 3,TPK3,PKA3
P33401,PGM1_YEAST,YKL127W,Phosphoglucomutase-1,PGM1,
P35996,RM38_YEAST,YKL170W,Mitochondrial 60S ribosomal protein L38,MRPL38,MRPL34
P36048,SN114_YEAST,YKL173W,114 kDa U5 small nuclear ribonucleoprotein component,SNU114,GIN10
P36049,EBP2_YEAST,YKL172W,rRNA-processing protein EBP2,EBP2,
P36029,TPO5_YEAST,YKL174C,Polyamine transporter TPO5,TPO5,
P06783,STE3_YEAST,YKL178C,Pheromone a factor receptor,STE3,DAF2
P05740,RL17A_YEAST,YKL180W,60S ribosomal protein L17-A,RPL17A,RPL17
P32895,KPR1_YEAST,YKL181W,Ribose-phosphate pyrophosphokinase 1,PRS1,PPS1;PRP1;PRPS;PRPS1
P34237,CASP_YEAST,YKL179C,Protein CASP,COY1,
P08432,DCOR_YEAST,YKL184W,Ornithine decarboxylase,SPE1,ORD1;SPE10
P34230,PXA2_YEAST,YKL188C,Peroxisomal long-chain fatty acid import protein 1,PXA2,PAT1
P25296,CANB_YEAST,YKL190W,Calcineurin subunit B,CNB1,CRV1;YCN2;YCNB
P36047,SDS22_YEAST,YKL193C,Protein phosphatase 1 regulatory subunit SDS22,SDS22,EGP1
P36046,MIA40_YEAST,YKL195W,Intermembrane space import and assembly protein 40, mitochondrial precursor,MIA40,FMP15;TIM40
P24004,PEX1_YEAST,YKL197C,Peroxisome biosynthesis protein PAS1,PEX1,PAS1
P32600,TOR2_YEAST,YKL203C,Serine/threonine-protein kinase TOR2,TOR2,DRR2;TSC14
P07149,FAS1_YEAST,YKL182W,Fatty acid synthase subunit beta,FAS1,
P34233,ASH1_YEAST,YKL185W,Transcriptional regulatory protein ASH1,ASH1,
P36037,DOA1_YEAST,YKL213C,Protein DOA1,DOA1,UFD3;ZZZ4
P34232,MTR2_YEAST,YKL186C,mRNA transport regulator MTR2,MTR2,
P32464,HYM1_YEAST,YKL189W,Protein HYM1,HYM1,
P21576,VPS1_YEAST,YKR001C,Vacuolar protein sorting-associated protein 1,VPS1,GRD1;LAM1;SPO15;VPL1;VPT26
Q02202,ECM9_YEAST,YKR004C,Extracellular matrix protein 9,ECM9,YKR004C-A
Q02204,RM13_YEAST,YKR006C,60S ribosomal protein L13, mitochondrial precursor,MRPL13,YK105
P32461,DPH2_YEAST,YKL191W,Diphthamide biosynthesis protein 2,DPH2,
Q02207,FOX2_YEAST,YKR009C,Peroxisomal hydratase-dehydrogenase-epimerase,FOX2,POX2
P36110,PRY2_YEAST,YKR013W,Protein PRY2 precursor,PRY2,YFW12
P32463,ACPM_YEAST,YKL192C,Acyl carrier protein, mitochondrial precursor,ACP1,
